episode,rho,bursty,return,mean_jct,makespan,loss,policy_loss,value_loss,entropy,eval_mean_jct
1,0.75,0,-45.199463595501015,45199.463595501016,363232.24968934926,0.0,0.0,0.0,0.0,
2,1.5,0,-73.38510259586405,45865.68912241504,349759.0197549628,0.0,0.0,0.0,0.0,
3,1.5,1,-62.76786422227887,44834.18873019919,645406.7420090603,0.0,0.0,0.0,0.0,
4,1.5,1,-52.90046662395844,37786.04758854175,574324.967084436,0.0,0.0,0.0,0.0,
5,1.1,0,-44.608923719723336,44608.92371972334,278143.24744316714,0.0,0.0,0.0,0.0,
6,0.75,0,-74.05917025128758,46286.98140705474,542338.109735475,0.0,0.0,0.0,0.0,
7,0.5,0,-28.786513642209123,35983.1420527614,375973.94132676546,0.0,0.0,0.0,0.0,
8,1.5,1,-30.178115557774106,37722.64444721763,203938.91002379192,0.0,0.0,0.0,0.0,
9,1.1,0,-61.35172972070057,43822.664086214696,280525.8545790666,0.0,0.0,0.0,0.0,
10,1.1,0,-87.59091388794215,54744.321179963845,333502.8028642371,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
11,0.75,0,-29.81913561526963,37273.91951908704,323921.2933813707,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
12,0.75,0,-47.43085985735674,39525.71654779728,400476.6552187224,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
13,0.9,0,-73.41291505305895,52437.79646647068,351103.27931181417,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
14,1.5,0,-85.58415294129794,53490.09558831122,324887.79312411376,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
15,0.9,0,-34.09192013418382,42614.90016772978,257439.7688593563,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
16,1.5,0,-48.360963238900425,48360.963238900425,259483.86222572898,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
17,1.5,0,-98.84578594196032,61778.6162137252,330878.925416124,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
18,0.75,0,-68.90671818347896,43066.69886467435,472869.95508064236,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
19,0.9,1,-61.297655340569456,43784.03952897818,1008142.3065349965,6.2690110206604,-0.0011550919152796268,25.081480026245117,0.010214487090706825,
20,0.5,1,-38.45195127430066,48064.93909287583,1093780.4968793802,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
21,0.75,1,-59.498447192256066,42498.890851611475,614701.333780472,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
22,0.5,1,-60.079273672327844,37549.5460452049,1377858.2508806481,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
23,1.1,0,-57.705524184319124,48087.93682026594,337398.74109986547,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
24,1.5,1,-49.496560967067936,61870.70120883492,429869.0892788645,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
25,0.5,1,-72.06355170296726,45039.71981435454,1638165.191606456,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,48524.1807875337
26,0.75,0,-65.28628908262617,54405.24090218847,323615.14702457876,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
27,0.75,0,-48.0776006755909,40064.667229659084,473320.20875035744,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
28,0.9,0,-61.93175877285419,44236.97055203871,325444.01228852174,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
29,1.1,0,-77.10533008403225,55075.23577430875,381301.1140167946,6.9302167892456055,-0.0012796545634046197,27.72768783569336,0.021272212266921997,
30,1.5,0,-90.67583605271484,56672.39753294678,340247.24161320843,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
31,1.1,0,-55.72570316190087,55725.70316190086,293572.66975431755,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
32,1.1,0,-67.95485607710357,42471.78504818973,406580.4617469106,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
33,1.5,1,-80.56619852582132,57547.28466130094,641162.6604964882,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
34,0.5,1,-76.3071551413581,47691.971963348806,2788855.6488063657,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
35,0.5,0,-42.37887891168623,35315.73242640519,596075.1790968988,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
36,0.9,0,-69.07946753131148,57566.22294275957,301303.62426996813,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
37,1.1,1,-33.02953109097842,41286.91386372303,376849.42097474297,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
38,0.9,1,-55.42214646272942,39587.247473378164,973850.1706037051,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
39,1.5,0,-35.97763662584892,35977.63662584892,237020.05712145235,6.593996524810791,0.0011594598181545734,26.372161865234375,0.01018218882381916,
40,0.75,1,-37.98653433835531,31655.44528196276,696138.7214933032,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
41,0.9,0,-34.32479282523182,42905.99103153977,240253.07985856367,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
42,1.5,0,-42.77354586902209,42773.545869022084,276846.7549880283,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
43,1.5,1,-60.31807234448402,50265.06028707002,396623.731686463,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
44,0.9,1,-59.93176665353548,42808.40475252534,880452.7696896133,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
45,0.5,0,-57.82914786264388,48190.956552203235,727553.9144898836,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
46,1.1,0,-49.49780917525423,49497.80917525424,324131.2827239115,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
47,0.9,0,-44.39944441069215,44399.444410692144,373335.54218748986,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
48,0.9,1,-31.456139518646268,39320.174398307834,863475.2732618026,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
49,1.5,0,-56.50544318082141,47087.86931735117,220635.52846453106,5.386432647705078,0.00014958693645894527,21.545785903930664,0.008178656920790672,
50,0.9,1,-33.01104527529499,41263.80659411873,266334.1859131863,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,48541.24731509385
51,1.5,1,-49.69347075664406,41411.22563053671,558182.7276101822,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
52,1.1,1,-71.49982018335653,51071.30013096895,666002.7385280523,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
53,1.1,0,-49.586395919342415,61982.99489917802,232832.10519556794,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
54,0.75,1,-57.36727906460162,40976.62790328687,832126.3710820813,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
55,1.5,0,-70.23623513496354,70236.23513496354,241551.4986127599,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
56,1.1,0,-98.95568739429952,61847.30462143719,376958.165728175,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
57,1.5,1,-49.559353965773184,49559.35396577318,654619.8628778431,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
58,1.5,0,-41.75171887227057,52189.64859033821,202252.8900796127,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
59,0.5,1,-71.8017776916496,44876.111057281,1398993.4867050042,4.2441864013671875,0.001002398319542408,16.97316551208496,0.005373833235353231,
60,1.1,0,-33.113065124619354,41391.33140577419,223005.76273157593,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
61,0.5,1,-54.09577896737627,45079.81580614689,981150.997384173,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
62,0.5,0,-62.16828035438329,44405.91453884521,883281.3731696076,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
63,1.5,1,-46.868434659584096,46868.43465958409,598844.9660679861,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
64,1.5,0,-48.98007307350919,61225.09134188648,230402.12997384617,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
65,0.75,1,-69.07194725687624,43169.96703554765,1216603.2126889755,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
66,0.75,1,-49.00763978939646,40839.69982449705,1159057.4789114962,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
67,0.5,0,-66.38115042491701,41488.21901557313,731136.4429586981,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
68,0.5,0,-42.1363198512061,42136.319851206106,518821.1709486732,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
69,1.5,0,-88.86306238110657,63473.6159865047,334975.6948505491,5.736509799957275,0.0013775454135611653,22.94173812866211,0.015120038762688637,
70,1.1,1,-33.5803052381049,41975.38154763113,671440.9684400953,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
71,0.75,1,-39.51097534359872,49388.7191794984,440853.77753345994,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
72,1.1,0,-33.00498773975742,41256.23467469677,170613.4096697209,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
73,0.9,1,-35.322999508818356,44153.749386022944,814733.1710184468,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
74,1.1,0,-111.01114686659001,69381.96679161876,310018.8019300074,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
75,0.9,1,-64.61243549613344,53843.69624677787,579033.042332125,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,48486.680170647414
76,0.5,1,-30.32734,37909.175,1229858.0986018493,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
77,0.5,0,-39.056056509782984,48820.07063722873,416643.0168172991,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
78,1.1,0,-77.52196987109774,48451.23116943608,381672.56498668564,3.697265863418579,-0.00010054923768620938,14.791046142578125,0.01974906399846077,
