episode,rho,bursty,return,mean_jct,makespan,loss,policy_loss,value_loss,entropy,eval_mean_jct
1,0.5,1,-47.13979687936959,39283.16406614133,1505687.3697789276,0.0,0.0,0.0,0.0,
2,0.75,1,-44.18835182141876,55235.43977677346,532645.2862465893,0.0,0.0,0.0,0.0,
3,1.5,0,-40.281700662091424,50352.12582761428,202158.5236973934,0.0,0.0,0.0,0.0,
4,0.75,1,-70.34781273133557,43967.38295708473,834762.0634784193,0.0,0.0,0.0,0.0,
5,1.5,1,-72.61309881279205,45383.18675799503,680567.7761569094,0.0,0.0,0.0,0.0,
6,0.75,0,-49.888077324464916,41573.39777038743,420675.0867757045,0.0,0.0,0.0,0.0,
7,0.75,0,-45.66698378195299,38055.81981829416,515770.66901754105,0.0,0.0,0.0,0.0,
8,0.75,1,-50.79321767941087,42327.68139950906,1097651.0961346002,0.0,0.0,0.0,0.0,
9,0.5,1,-56.19501985905384,46829.183215878205,1899172.5528979935,0.0,0.0,0.0,0.0,
10,1.5,1,-32.16634617100099,40207.93271375124,315434.942638239,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
11,1.5,1,-74.07255014010347,52908.9643857882,407721.43676720397,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
12,1.5,1,-75.82112884616198,47388.205528851235,806037.3697455537,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
13,1.5,1,-40.30520433138921,50381.50541423652,390805.53683568106,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
14,0.75,0,-27.975373824799878,34969.217280999845,304695.39706237515,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
15,0.5,1,-64.32471007786462,45946.22148418902,1295609.9467192397,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
16,0.75,1,-54.1510160356019,54151.0160356019,336760.41505554516,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
17,0.5,0,-37.78955481689717,37789.55481689717,525733.3949471551,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
18,0.75,0,-57.25431410798154,47711.92842331795,401123.4858517783,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
19,0.9,0,-43.45211574699071,54315.14468373838,355306.8947357363,5.890720844268799,-0.0013892640126869082,23.568927764892578,0.006105345673859119,
20,0.5,0,-56.12281284062638,40087.72345759027,711269.7417327836,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
21,0.5,1,-64.47584059897115,40297.40037435696,2700138.373809212,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
22,0.75,0,-57.325618688441814,40946.87049174415,425111.4937502566,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
23,0.75,1,-48.55414274049597,48554.14274049597,1071333.9986711713,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
24,1.5,0,-97.58252688282349,60989.07930176468,295160.3482624863,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
25,0.9,1,-43.2638987555871,43263.8987555871,614190.8119288154,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,48598.552509698784
26,0.5,0,-34.86707159343614,43583.839491795174,435088.0334482659,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
27,0.75,0,-52.5902051098826,37564.432221344716,486225.9878953567,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
28,1.1,1,-55.924675825794914,39946.197018424944,771714.2469137203,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
29,1.5,0,-28.224881181886307,35281.101477357886,206285.19964438112,6.262660026550293,0.00036481069400906563,25.049577713012695,0.004951701033860445,
30,1.5,0,-56.10628161391297,46755.234678260815,243528.8699583511,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
31,0.9,0,-56.11514776288976,40082.24840206411,440244.168921379,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
32,0.9,0,-43.88511502523911,43885.11502523911,311053.5831242977,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
33,0.9,0,-70.29576291099445,43934.851819371535,450749.8816969,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
34,0.75,1,-38.98179528680445,38981.795286804445,944410.5950387828,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
35,1.5,1,-41.163529447129655,51454.41180891207,182720.04811744328,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
36,0.9,0,-52.10902773968859,43424.18978307382,397196.5904224422,5.450154781341553,0.004398125223815441,21.783889770507812,0.010798836126923561,
