episode,rho,bursty,return,mean_jct,makespan,loss,policy_loss,value_loss,entropy,eval_mean_jct,oracle_gap_pct
1,0.5,1,-3224.1291731332776,49323.104768983336,1582368.3216842017,0.0,0.0,0.0,0.0,,
2,0.75,1,-196.9194542483411,53042.22300122998,967146.3858379476,0.0,0.0,0.0,0.0,,
3,1.5,0,-4846.918462790799,45781.82062065821,187831.1988842201,0.0,0.0,0.0,0.0,,
4,0.75,1,-6334.011800051166,43116.270417576285,1069407.5519532529,0.0,0.0,0.0,0.0,,
5,1.5,1,-14805.886394340512,54729.14419644062,531580.6343873809,0.0,0.0,0.0,0.0,,
6,0.75,0,-7012.675813729177,57581.37885488471,365097.339269387,0.0,0.0,0.0,0.0,,
7,0.75,0,-6823.162685768278,41854.500240275374,452492.35865100095,0.0,0.0,0.0,0.0,,
8,0.75,1,-4816.6744958253175,48901.68458022419,968587.3143857393,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
9,0.5,1,-7422.366760941977,46183.58641006735,1715595.118547379,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
10,1.5,1,-8732.575106127651,59005.20762279877,265534.51292249106,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
11,1.5,1,-3637.776106598435,77309.62800883748,494382.7789392275,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
12,1.5,1,-4588.411336603331,50056.90169647798,857696.188518556,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
13,1.5,1,-5186.819343550353,47117.34907710839,557597.2447609177,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
14,0.75,0,-3208.728779443901,59095.48197282074,298593.22939670755,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
15,0.5,1,-6899.902035770111,51128.4213886492,1251972.658381131,202362.953125,0.00509279128164053,809451.8125,0.2816604673862457,,
16,0.75,1,-1898.1242670541983,49610.962170484585,861809.96611459,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
17,0.5,0,-3099.61817320376,44082.35578654587,390696.379074602,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
18,0.75,0,-16922.176564547277,47503.42875700018,376283.0806014371,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
19,0.9,0,-11834.55889879606,66386.81576271025,300452.2595397475,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
20,0.5,0,-8713.48534244901,51208.966065835324,516933.01992888266,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,43739.20599635533,13.753990157669985
21,0.5,1,-1710.476426638406,48600.50850747278,1492489.1259620844,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
22,0.75,0,-20364.284211874507,70686.33617969275,402919.2645487889,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
23,0.75,1,-4597.172978506594,56874.036613911725,598201.5025311504,147656.046875,0.0033343934919685125,590624.1875,0.40669623017311096,,
24,1.5,0,-24601.085244424554,61101.26208176247,322300.64828084584,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
25,0.9,1,-1843.120322801336,43651.35118296176,861673.372410818,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
26,0.5,0,-891.4748652349987,41967.817212586546,356826.05114930525,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
27,0.75,0,-8314.790502523652,44741.379338790546,493545.9527245084,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
28,1.1,1,-11799.854607003072,45850.4029188073,776819.4236401201,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
29,1.5,0,-4433.621411626664,56174.69194668242,189446.1894688953,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
30,1.5,0,-7768.747143931755,41267.98089734652,238982.4780909009,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
31,0.9,0,-7119.182078097982,55596.22039317299,407931.5537303956,145343.859375,0.0008259522146545351,581375.4375,0.1827787607908249,,
32,0.9,0,-10725.575591018383,49468.2565963665,233814.13005795507,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
33,0.9,0,-13384.652973475177,49374.96597370308,403455.87765949685,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
34,0.75,1,-6951.60337198499,53326.91530499863,874710.2690019765,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
35,1.5,1,-44.5768478261952,51571.99962456566,505209.87385638367,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
36,0.9,0,-24380.265006975205,50764.24056443758,336439.04819518636,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
