episode,rho,bursty,return,mean_jct,makespan,loss,policy_loss,value_loss,entropy,eval_mean_jct,oracle_gap_pct
37,0.5,1,-305.455344737134,48328.34791394639,2084721.3428442872,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
38,0.5,0,-49.97087372351617,51969.16244998908,516791.13984843786,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
39,0.75,0,-8499.952730084795,50841.94073009556,576388.0390488816,84950.046875,0.006734623108059168,339800.15625,0.3327586054801941,,
40,0.9,0,-11189.645653619846,49123.72980856566,477796.8922598986,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,22898.923676990697,-40.446016811766306
41,0.75,0,-1919.9770040708156,47507.84769145141,282796.96359932574,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
42,1.1,0,-3507.3246662341594,52404.423928816184,353517.4474574802,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
43,1.5,0,-525.0298381108813,6869.299579853258,48462.40188175463,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
44,0.5,1,-4832.953375650098,45968.59535292604,1608946.460436266,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
45,1.5,1,-3756.2156273841993,43073.13958901799,349379.83975317905,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
46,0.75,1,-5553.737542103571,58266.275457714735,1035085.9104759285,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
47,0.5,0,-6615.579686347553,43111.133769343316,566167.0952351801,347894.4375,0.0027989933732897043,1391577.75,0.4704262614250183,,
48,0.75,0,-18075.84764509372,42947.82342104453,495437.8726996866,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
49,0.75,0,-8313.356679659504,54318.912382605915,538647.4812185268,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
50,0.5,1,-3788.783274464634,44099.309183879814,998509.864727638,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
51,1.1,0,-7041.3682610841615,61983.58601036863,233083.16964931367,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
52,0.5,0,-3533.1842862558005,45483.68306681919,555547.9334434028,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
53,0.75,1,-7447.931306629164,50712.95532567494,1466342.8332201443,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
54,0.75,0,-4091.078414163243,48839.63259559834,350381.93606026506,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
55,0.75,0,-4414.705865643351,37468.35960939641,318959.3471262804,50979.96484375,-0.00022923725191503763,203919.859375,0.0895422101020813,,
56,1.5,1,-11853.659396232342,49426.88573612934,615784.760970691,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
57,0.5,0,-1069.170998323655,45346.07108141343,508627.28453297634,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
58,1.1,0,-6140.768567717301,54971.97240633213,238951.66633129533,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
59,0.5,1,-4978.40978579647,40349.78883921031,1444120.8409719141,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
60,0.9,0,-5815.383015996528,60796.556740445696,369665.8149769025,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,18379.368145341767,-52.200173380293755
61,1.1,0,-7807.655906384633,58218.37130660823,468609.5294301479,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
62,0.75,1,-1132.7284899294082,49132.19602162968,643348.005202723,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
63,1.5,0,-12975.750831964908,87652.50147478259,262262.6317748374,73799.703125,0.00012609582336153835,295198.8125,0.4100678861141205,,
64,0.5,1,-1162.5732168125703,42611.16809295987,824500.7447549718,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
65,0.5,0,-1506.226530643957,41877.42993170805,372337.9432419335,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
66,0.5,0,-3611.785133692233,44050.19897178545,601624.5900401386,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
67,0.5,0,-12868.569740755423,48074.20709267533,531322.4334459004,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
68,1.5,0,-5639.13457003109,41556.68179390398,290420.1550463858,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
69,1.1,0,-32968.37312578398,56129.25897153142,346879.3018077232,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
70,0.9,1,-2882.9202053754234,38944.265629443755,806139.0785228176,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
71,0.9,1,-64.1007532866382,53759.970046706905,1216193.896005074,227301.953125,-0.0004019767511636019,909207.8125,0.6684647798538208,,
72,0.9,0,-1156.861634833495,47438.49772972895,195680.9601138154,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
73,1.1,0,-9842.437105949277,50291.06042599981,414912.29234356596,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
74,0.5,0,-8796.726563887003,47740.61628065267,642224.9855014591,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
75,0.75,0,-983.330993640963,52499.45600099328,363473.3697062984,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
76,0.9,1,-2567.97576396211,43130.423567411024,813150.6440571577,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
77,1.5,0,-17056.45764376315,62896.37702672653,305852.71772864065,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
78,1.5,1,-8685.973752742932,49675.51598421685,329262.0021505944,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
79,0.9,1,-2869.97044328406,41250.998012460375,655300.7951565615,384953.90625,-0.00014509898028336465,1539815.625,0.6461710929870605,,
80,0.9,1,-6288.355259798614,47830.50900950594,415678.2129717486,187196.265625,-0.001359104411676526,748785.0625,0.6398115754127502,16570.64561137559,-56.90417750290835
81,0.75,0,-8276.69722247177,52266.166586373205,323377.64595496305,187196.265625,-0.001359104411676526,748785.0625,0.6398115754127502,,
82,0.9,0,-3166.0014445812535,60493.51157240307,270481.2290956271,187196.265625,-0.001359104411676526,748785.0625,0.6398115754127502,,
83,1.1,0,-12049.257246391304,60215.440810711574,265644.9600615155,187196.265625,-0.001359104411676526,748785.0625,0.6398115754127502,,
84,0.9,0,-5314.6888324107995,49526.680077439014,429004.0647772869,187196.265625,-0.001359104411676526,748785.0625,0.6398115754127502,,
